source,target
Robert Casey,Tim Scott
Robert Casey,Steny Hoyer
Robert Casey,Michael Crapo
Robert Casey,Amy Klobuchar
Robert Casey,Richard Burr
Robert Casey,Dianne Feinstein
Robert Casey,Joe Donnelly
Robert Casey,Angus King
Robert Casey,Mazie Hirono
Robert Casey,Ted Cruz
Robert Casey,James Risch
Robert Casey,James Inhofe
Robert Casey,John Isakson
Robert Casey,Tammy Baldwin
Robert Casey,Deb Fischer
Robert Casey,Sheldon Whitehouse
Robert Casey,Chris Coons
Robert Casey,Jeanne Shaheen
Robert Casey,Rosa DeLauro
Robert Casey,Elizabeth Warren
Robert Casey,Dean Heller
Robert Casey,Kirsten Gillibrand
Robert Casey,John Thune
Robert Casey,Bob Corker
Robert Casey,John Barrasso
Robert Casey,Nancy Pelosi
Robert Casey,Ron Wyden
Robert Casey,Bill Nelson
Robert Casey,Patty Murray
Robert Casey,John McCain
Robert Casey,Orrin Hatch
Robert Casey,Charles Dent
Robert Casey,Susan Collins
Robert Casey,Michael Doyle
Robert Casey,Lou Barletta
Robert Casey,Tom Marino
Robert Casey,Bill Shuster
Robert Casey,Patrick Meehan
Robert Casey,Glenn Thompson
Robert Casey,Robert Brady
Robert Casey,Patrick Toomey
Robert Casey,Mark Warner
Robert Casey,Tom Udall
Robert Casey,Debbie Stabenow
Robert Casey,Charles Schumer
Robert Casey,Bernard Sanders
Robert Casey,Jeff Merkley
Robert Casey,Robert Menéndez
Robert Casey,Claire McCaskill
Robert Casey,Joe Manchin
Robert Casey,Patrick Leahy
Robert Casey,Richard Durbin
Robert Casey,Thomas Carper
Robert Casey,Benjamin Cardin
Robert Casey,Maria Cantwell
Robert Casey,Sherrod Brown
Robert Casey,Richard Blumenthal
Robert Casey,Michael Bennet
Bob Corker,David Kustoff
Bob Corker,Benjamin Cardin
Bob Corker,John Thune
Bob Corker,Mitch McConnell
Bob Corker,Mike Rounds
Bob Corker,Cory Gardner
Bob Corker,Tom Cotton
Bob Corker,Dianne Feinstein
Bob Corker,Robert Menéndez
Bob Corker,Mark Warner
Bob Corker,Heidi Heitkamp
Bob Corker,James Risch
Bob Corker,Rand Paul
Bob Corker,Jeff Flake
Bob Corker,Kevin McCarthy
Bob Corker,Nancy Pelosi
Bob Corker,John Cornyn
Bob Corker,Patrick Toomey
Bob Corker,Richard Shelby
Bob Corker,Lisa Murkowski
Bob Corker,Marco Rubio
Bob Corker,John Isakson
Bob Corker,Richard Burr
Bob Corker,Mike Lee
Bob Corker,James Inhofe
Bob Corker,Lindsey Graham
Bob Corker,Orrin Hatch
Bob Corker,John Barrasso
Bob Corker,Charles Grassley
Bob Corker,Susan Collins
Bob Corker,John Boozman
Bob Corker,Roy Blunt
Bob Corker,Jerry Moran
Bob Corker,John McCain
Bob Corker,Marsha Blackburn
Bob Corker,Ron Johnson
Bob Corker,Robert Portman
Bob Corker,Paul Ryan
Bob Corker,Steve Cohen
Bob Corker,Jim Cooper
Bob Corker,Scott DesJarlais
Bob Corker,Diane Black
Bob Corker,Charles Fleischmann
Bob Corker,David Roe
Bob Corker,Lamar Alexander
Dianne Feinstein,Doug Jones
Dianne Feinstein,Tina Smith
Dianne Feinstein,Julia Brownley
Dianne Feinstein,Eric Swalwell
Dianne Feinstein,Luis Gutiérrez
Dianne Feinstein,Chris Van Hollen
Dianne Feinstein,Tammy Duckworth
Dianne Feinstein,Margaret Hassan
Dianne Feinstein,Gary Peters
Dianne Feinstein,Kamala Harris
Dianne Feinstein,Catherine Cortez Masto
Dianne Feinstein,Marco Rubio
Dianne Feinstein,John McCain
Dianne Feinstein,Roy Blunt
Dianne Feinstein,Pat Roberts
Dianne Feinstein,Jerry Moran
Dianne Feinstein,David Perdue
Dianne Feinstein,John Boozman
Dianne Feinstein,Timothy Kaine
Dianne Feinstein,Bob Corker
Dianne Feinstein,John Isakson
Dianne Feinstein,Thom Tillis
Dianne Feinstein,Robert Portman
Dianne Feinstein,Michael Crapo
Dianne Feinstein,John Thune
Dianne Feinstein,Ron Johnson
Dianne Feinstein,Thad Cochran
Dianne Feinstein,James Risch
Dianne Feinstein,John Barrasso
Dianne Feinstein,John Hoeven
Dianne Feinstein,Michael Enzi
Dianne Feinstein,Roger Wicker
Dianne Feinstein,Deb Fischer
Dianne Feinstein,Joe Donnelly
Dianne Feinstein,Dean Heller
Dianne Feinstein,Heidi Heitkamp
Dianne Feinstein,Amy Klobuchar
Dianne Feinstein,Adam Schiff
Dianne Feinstein,Devin Nunes
Dianne Feinstein,Richard Burr
Dianne Feinstein,Martin Heinrich
Dianne Feinstein,Jerrold Nadler
Dianne Feinstein,Mazie Hirono
Dianne Feinstein,Elizabeth Warren
Dianne Feinstein,Tammy Baldwin
Dianne Feinstein,Angus King
Dianne Feinstein,Christopher Murphy
Dianne Feinstein,Jeanne Shaheen
Dianne Feinstein,Maria Cantwell
Dianne Feinstein,John Reed
Dianne Feinstein,Doris Matsui
Dianne Feinstein,Charles Grassley
Dianne Feinstein,Lamar Alexander
Dianne Feinstein,Thomas Carper
Dianne Feinstein,Mark Warner
Dianne Feinstein,Robert Casey
Dianne Feinstein,Kirsten Gillibrand
Dianne Feinstein,Bernard Sanders
Dianne Feinstein,Ron Wyden
Dianne Feinstein,Tom Udall
Dianne Feinstein,Robert Menéndez
Dianne Feinstein,Sheldon Whitehouse
Dianne Feinstein,Joe Manchin
Dianne Feinstein,Benjamin Cardin
Dianne Feinstein,Bill Nelson
Dianne Feinstein,Patrick Leahy
Dianne Feinstein,Richard Blumenthal
Dianne Feinstein,Sherrod Brown
Dianne Feinstein,Jeff Merkley
Dianne Feinstein,Richard Durbin
Dianne Feinstein,Charles Schumer
Dianne Feinstein,Michael Bennet
Dianne Feinstein,Lisa Murkowski
Dianne Feinstein,Susan Collins
Dianne Feinstein,Debbie Stabenow
Dianne Feinstein,Claire McCaskill
Dianne Feinstein,Patty Murray
Dianne Feinstein,Nancy Pelosi
Orrin Hatch,James Risch
Orrin Hatch,Mark Warner
Orrin Hatch,Angus King
Orrin Hatch,Heidi Heitkamp
Orrin Hatch,John Hoeven
Orrin Hatch,Susan Collins
Orrin Hatch,Lisa Murkowski
Orrin Hatch,Dean Heller
Orrin Hatch,Kenny Marchant
Orrin Hatch,Bob Goodlatte
Orrin Hatch,David Perdue
Orrin Hatch,Chris Stewart
Orrin Hatch,Cory Gardner
Orrin Hatch,Joni Ernst
Orrin Hatch,Richard Burr
Orrin Hatch,John Isakson
Orrin Hatch,Roy Blunt
Orrin Hatch,Richard Shelby
Orrin Hatch,Lindsey Graham
Orrin Hatch,Lamar Alexander
Orrin Hatch,Ron Johnson
Orrin Hatch,John Barrasso
Orrin Hatch,Bob Corker
Orrin Hatch,Pat Roberts
Orrin Hatch,Patrick Toomey
Orrin Hatch,Mike Lee
Orrin Hatch,John McCain
Amy Klobuchar,Marcy Kaptur
Amy Klobuchar,Tina Smith
Amy Klobuchar,Jason Lewis
Amy Klobuchar,C. Ruppersberger
Claire McCaskill,Roy Blunt
Robert Menéndez,J. Correa
Robert Menéndez,Tina Smith
Robert Menéndez,Doug Jones
Robert Menéndez,Donald Beyer
Robert Menéndez,Margaret Hassan
Robert Menéndez,Donald Payne
Robert Menéndez,Bonnie Watson Coleman
Robert Menéndez,Chris Van Hollen
Robert Menéndez,Thomas Suozzi
Robert Menéndez,Tammy Duckworth
Robert Menéndez,Kamala Harris
Robert Menéndez,Joseph Kennedy
Robert Menéndez,Orrin Hatch
Robert Menéndez,James Risch
Robert Menéndez,Pat Roberts
Robert Menéndez,Thad Cochran
Robert Menéndez,Michael Crapo
Robert Menéndez,Jerry Moran
Robert Menéndez,Richard Burr
Robert Menéndez,John Boozman
Robert Menéndez,Pramila Jayapal
Robert Menéndez,John Lewis
Robert Menéndez,Ileana Ros-Lehtinen
Robert Menéndez,Ro Khanna
Robert Menéndez,Josh Gottheimer
Robert Menéndez,Catherine Cortez Masto
Robert Menéndez,Elizabeth Esty
Robert Menéndez,Raúl Grijalva
Robert Menéndez,Luis Gutiérrez
Robert Menéndez,Angus King
Robert Menéndez,Brian Schatz
Robert Menéndez,Jon Tester
Robert Menéndez,Jerrold Nadler
Robert Menéndez,Cory Booker
Robert Menéndez,Donald Norcross
Robert Menéndez,Edward Markey
Robert Menéndez,Gary Peters
Robert Menéndez,Tammy Baldwin
Robert Menéndez,Mazie Hirono
Robert Menéndez,Martin Heinrich
Robert Menéndez,Elizabeth Warren
Robert Menéndez,Jeff Flake
Robert Menéndez,Tim Scott
Robert Menéndez,Timothy Kaine
Robert Menéndez,Christopher Murphy
Robert Menéndez,Patrick Toomey
Robert Menéndez,Heidi Heitkamp
Robert Menéndez,Deb Fischer
Robert Menéndez,John Isakson
Robert Menéndez,Doug Collins
Robert Menéndez,Bob Corker
Robert Menéndez,Maria Cantwell
Robert Menéndez,John Cornyn
Robert Menéndez,Lindsey Graham
Robert Menéndez,Robert Portman
Robert Menéndez,Ron Johnson
Robert Menéndez,Frank LoBiondo
Robert Menéndez,Chris Coons
Robert Menéndez,Nancy Pelosi
Robert Menéndez,John McCain
Robert Menéndez,Susan Collins
Robert Menéndez,John Reed
Robert Menéndez,Dianne Feinstein
Robert Menéndez,Amy Klobuchar
Robert Menéndez,Lisa Murkowski
Robert Menéndez,Patty Murray
Robert Menéndez,Robert Casey
Robert Menéndez,Jeanne Shaheen
Robert Menéndez,Thomas Carper
Robert Menéndez,Steny Hoyer
Robert Menéndez,Bill Pascrell
Robert Menéndez,Richard Blumenthal
Robert Menéndez,Sheldon Whitehouse
Robert Menéndez,Charles Schumer
Robert Menéndez,Richard Durbin
Robert Menéndez,Ron Wyden
Robert Menéndez,Patrick Leahy
Robert Menéndez,Joe Manchin
Robert Menéndez,Debbie Stabenow
Robert Menéndez,Tom Udall
Robert Menéndez,Bernard Sanders
Robert Menéndez,Benjamin Cardin
Robert Menéndez,Michael Bennet
Robert Menéndez,Mark Warner
Robert Menéndez,Bill Nelson
Robert Menéndez,Kirsten Gillibrand
Robert Menéndez,Sherrod Brown
Robert Menéndez,Jeff Merkley
Robert Menéndez,Claire McCaskill
Robert Menéndez,Albio Sires
Robert Menéndez,Frank Pallone
Bernard Sanders,Christopher Murphy
Bernard Sanders,Cory Booker
Bernard Sanders,Kamala Harris
Bernard Sanders,Ro Khanna
Bernard Sanders,John Lewis
Bernard Sanders,Richard Nolan
Bernard Sanders,Lloyd Doggett
Bernard Sanders,Elijah Cummings
Bernard Sanders,Pramila Jayapal
Bernard Sanders,Timothy Kaine
Bernard Sanders,Joe Donnelly
Bernard Sanders,John Reed
Bernard Sanders,Robert Scott
Bernard Sanders,Peter Welch
Bernard Sanders,Nancy Pelosi
Bernard Sanders,Chris Van Hollen
Bernard Sanders,Amy Klobuchar
Bernard Sanders,Jon Tester
Bernard Sanders,John Isakson
Bernard Sanders,Richard Burr
Bernard Sanders,Jackie Walorski
Bernard Sanders,Paul Cook
Bernard Sanders,Brad Wenstrup
Bernard Sanders,Mike Coffman
Bernard Sanders,Jeff Denham
Bernard Sanders,Gus Bilirakis
Bernard Sanders,Doug Lamborn
Bernard Sanders,Timothy Walz
Bernard Sanders,Ann Kuster
Bernard Sanders,Raul Ruiz
Bernard Sanders,Dina Titus
Bernard Sanders,Julia Brownley
Bernard Sanders,Mark Takano
Bernard Sanders,John McCain
Bernard Sanders,Edward Markey
Bernard Sanders,Brian Schatz
Bernard Sanders,Dianne Feinstein
Bernard Sanders,Robert Casey
Bernard Sanders,Martin Heinrich
Bernard Sanders,Linda Sánchez
Bernard Sanders,Angus King
Bernard Sanders,Ron Wyden
Bernard Sanders,Tammy Baldwin
Bernard Sanders,Elizabeth Warren
Bernard Sanders,Rosa DeLauro
Bernard Sanders,Mazie Hirono
Bernard Sanders,Barbara Lee
Bernard Sanders,Patty Murray
Bernard Sanders,Keith Ellison
Bernard Sanders,Claire McCaskill
Bernard Sanders,Richard Durbin
Bernard Sanders,Rick Larsen
Bernard Sanders,Theodore Deutch
