"","MEMBER","PARTY","PVI","2016 D%","2016 R%","CLINTON %","TRUMP %"
"North Carolina-02","George Holding","R","R+6","43.3%","56.7%","44.6%","50.9%"
"North Carolina-03","Walter Jones","R","R+12","32.8%","67.2%","37.0%","59.6%"
"North Carolina-04","David Price","D","D+16","68.2%","31.8%","65.7%","29.0%"
"North Carolina-05","Virginia Foxx","R","R+10","41.6%","58.4%","39.2%","56.6%"
"North Carolina-06","Mark Walker","R","R+9","40.8%","59.2%","41.0%","55.6%"
"North Carolina-07","David Rouzer","R","R+9","39.1%","60.9%","39.6%","56.9%"
"North Carolina-08","Richard Hudson","R","R+8","41.2%","58.8%","40.7%","55.5%"
"North Carolina-09","Robert Pittenger","R","R+7","41.8%","58.2%","42.4%","53.5%"
"North Carolina-10","Patrick McHenry","R","R+13","36.9%","63.1%","35.7%","60.5%"
"North Carolina-11","Mark Meadows","R","R+14","35.9%","64.1%","33.7%","62.0%"
"North Carolina-12","Alma Adams","D","D+18","67.0%","33.0%","67.2%","28.2%"
"North Carolina-13","Ted Budd","R","R+6","43.9%","56.1%","43.5%","52.7%"
"North Dakota-AL","Kevin Cramer","R","R+16","23.7%","69.1%","27.2%","63.0%"
"Ohio-01","Steve Chabot","R","R+5","40.8%","59.2%","44.5%","51.1%"
"Ohio-02","Brad Wenstrup","R","R+9","32.8%","65.0%","39.5%","55.6%"
"Ohio-03","Joyce Beatty","D","D+19","68.6%","31.4%","67.2%","28.3%"
"Ohio-04","Jim Jordan","R","R+14","32.0%","68.0%","30.5%","63.9%"
"Ohio-05","Bob Latta","R","R+11","29.1%","70.9%","34.4%","59.3%"
"Ohio-06","Bill Johnson","R","R+16","29.3%","70.7%","26.5%","68.9%"
"Ohio-07","Bob Gibbs","R","R+12","29.0%","64.0%","32.7%","62.4%"
"Ohio-08","Warren Davidson","R","R+17","27.0%","68.8%","30.4%","64.7%"
"Ohio-09","Marcy Kaptur","D","D+14","68.7%","31.3%","58.7%","36.5%"
"Ohio-10","Mike Turner","R","R+4","32.7%","64.1%","43.8%","51.0%"
"Ohio-11","Marcia Fudge","D","D+32","80.3%","19.7%","80.5%","17.0%"
"Ohio-12","Pat Tiberi","R","R+7","29.8%","66.6%","41.6%","53.1%"
"Ohio-13","Tim Ryan","D","D+7","67.7%","32.3%","51.1%","44.6%"
"Ohio-14","David Joyce","R","R+5","37.4%","62.6%","42.0%","53.4%"
"Ohio-15","Steve Stivers","R","R+7","33.8%","66.2%","39.6%","55.2%"
"Ohio-16","(Open) Renacci","R","R+8","34.7%","65.3%","39.4%","56.1%"
"Oklahoma-01","Jim Bridenstine","R","R+17","0.0%","100.0%","32.7%","61.4%"
"Oklahoma-02","Markwayne Mullin","R","R+24","23.2%","70.6%","22.8%","72.9%"
"Oklahoma-03","Frank Lucas","R","R+27","21.7%","78.3%","20.9%","73.6%"
"Oklahoma-04","Tom Cole","R","R+20","26.1%","69.6%","28.4%","65.6%"
"Oklahoma-05","Steve Russell","R","R+10","36.8%","57.1%","39.7%","53.3%"
"Oregon-01","Suzanne Bonamici","D","D+9","59.6%","37.0%","55.0%","33.1%"
"Oregon-02","Greg Walden","R","R+11","28.0%","71.7%","35.3%","54.7%"
"Oregon-03","Earl Blumenauer","D","D+24","71.8%","0.0%","68.4%","21.7%"
"Oregon-04","Peter DeFazio","D","EVEN","55.5%","39.7%","44.5%","44.4%"
"Oregon-05","Kurt Schrader","D","EVEN","53.5%","43.0%","46.4%","42.3%"
"Pennsylvania-01","Robert Brady","D","D+31","82.2%","17.8%","79.5%","18.2%"
"Pennsylvania-02","Dwight Evans","D","D+40","90.2%","9.8%","90.4%","7.6%"
"Pennsylvania-03","Mike Kelly","R","R+11","0.0%","100.0%","35.0%","61.1%"
"Pennsylvania-04","Scott Perry","R","R+11","33.9%","66.1%","37.1%","58.6%"
"Pennsylvania-05","Glenn Thompson","R","R+13","32.8%","67.2%","33.5%","62.3%"
"Pennsylvania-06","Ryan Costello","R","R+2","42.7%","57.3%","48.1%","47.6%"
"Pennsylvania-07","Patrick Meehan","R","R+1","40.5%","59.5%","49.3%","47.0%"
"Pennsylvania-08","Brian Fitzpatrick","R","R+2","45.5%","54.5%","48.0%","48.2%"
"Pennsylvania-09","Bill Shuster","R","R+19","36.7%","63.3%","27.2%","69.8%"
"Pennsylvania-10","Tom Marino","R","R+16","29.8%","70.2%","30.2%","66.1%"
"Pennsylvania-11","OPEN (Barletta)","R","R+10","36.3%","63.7%","36.2%","60.0%"
"Pennsylvania-12","Keith Rothfus","R","R+11","38.2%","61.8%","37.9%","58.6%"
"Pennsylvania-13","Brendan Boyle","D","D+15","100.0%","0.0%","65.3%","31.7%"
"Pennsylvania-14","Mike Doyle","D","D+17","74.4%","25.6%","66.0%","30.6%"
"Pennsylvania-15","OPEN (Dent)","R","R+4","38.0%","58.4%","44.3%","51.8%"
